Annual Income,Spending Score,Age,Customer Tenure,KMeans,Hierarchical,DBSCAN
94.06093534935076,100.66182882228682,18,15.0,1,3,0
152.31747076450864,-35.406235389160884,18,1.0,3,1,1
81.86182708803248,95.11433354494014,18,15.0,1,3,0
27.179144897138336,135.74813552156408,70,12.7,0,0,2
108.94408781426498,-21.398764480287724,18,1.0,3,1,1
74.44185340436269,124.56066007172839,70,3.7,0,0,2
12.445786104544602,5.354047077461857,18,15.0,2,2,3
18.733107141723544,165.44434896104156,70,11.7,0,0,2
81.64720435564759,122.61021651408704,18,15.0,1,3,0
121.3236602799997,1.900362441509749,18,1.0,3,1,1
-46.084227586042104,-54.92254928356985,18,15.0,2,2,3
38.6405922592989,116.96492556104131,18,15.0,1,3,0
84.75062079391934,35.94400830496408,18,1.0,3,1,1
79.14809438879803,91.40641918770079,18,15.0,1,3,0
181.56167854923592,-17.79191217783854,18,1.0,3,1,1
-50.48103112019008,-53.70261138020919,18,15.0,2,2,3
89.36996118474019,110.46460274884993,18,15.0,1,3,0
102.92144505521361,133.6841923546161,18,15.0,1,3,0
79.70858133018811,106.16394205494322,18,15.0,1,3,0
92.5619426718724,102.2821261498562,18,15.0,1,3,0
-29.66964380141077,-53.67650840696005,18,15.0,2,2,3
74.92025164177906,107.29232504237244,18,15.0,1,3,0
-22.755715217844553,-52.48008612154807,18,15.0,2,2,3
59.98023463924651,109.39117391204289,18,15.0,1,3,0
9.10132862296399,173.4642712847583,70,7.8,0,0,2
195.41690690786575,-48.50120100050155,18,1.0,3,1,1
2.3584162796901964,-13.517896369203228,18,15.0,2,2,3
63.43777857667935,88.53491004795697,18,15.0,1,3,0
213.6633880456122,-3.658384766805483,18,1.0,3,1,1
23.717215377881843,202.50979156311502,70,12.3,0,0,2
0.7782118631558248,-62.37150661675301,18,15.0,2,2,3
106.38632991021997,101.08117895919001,18,15.0,1,3,0
27.80618676444451,123.7323891345395,60,8.4,0,0,2
-56.359775917226386,-41.90457197621518,18,15.0,2,2,3
-29.17205198275741,0.5458454015443124,18,15.0,2,2,3
171.19085580707315,-8.717613904628053,18,1.0,3,1,1
185.83482416078917,-7.1422481258712125,18,1.0,3,1,1
30.498846217780518,146.55927795548763,70,15.0,0,0,2
-23.203672545587423,161.52761120422957,70,14.8,0,0,2
21.891749790015417,160.28332643793794,70,8.3,0,0,2
87.25334950067234,93.27807397987115,18,15.0,1,3,0
-41.14768479603843,-47.18800808797296,18,15.0,2,2,3
90.60612471526508,99.56106731213485,18,15.0,1,3,0
30.41225126204512,168.26555501300808,70,15.0,0,0,2
-60.76175723355837,-43.0832234086288,18,15.0,2,2,3
43.8270753328058,169.89647606188424,70,14.3,0,0,2
-88.26835045754609,-20.824734963904774,18,15.0,2,2,3
29.024741888161707,162.87042843761787,70,9.9,0,0,2
42.60303285145689,163.70282491415884,70,13.8,0,0,2
215.13190212155652,-44.72064782904138,18,1.0,3,1,1
111.13465996995113,118.1784298820034,18,15.0,1,3,0
93.79967304116109,79.10604667517333,18,15.0,1,3,0
-4.644633504546221,152.15041129324277,70,8.0,0,0,2
16.679252247862642,135.71133626301256,70,4.5,0,0,2
122.9598223500563,-54.18361056224941,18,1.0,3,1,1
-63.69098972921891,-29.31280933142527,18,15.0,2,2,3
159.62471606740948,-46.83936597783476,18,1.0,3,1,1
162.09184794960925,-66.9954298659843,18,1.0,3,1,1
70.110550086993,176.7558082283005,63,8.7,0,0,2
35.56632026471483,197.59963480295949,70,8.4,0,0,2
-71.2000540340834,-36.6726305659173,18,15.0,2,2,3
-24.56052009106901,-41.227677312045415,18,15.0,2,2,3
44.037998562205985,165.60149022323685,70,15.0,0,0,2
64.34196215496577,166.70042611479204,68,13.9,0,0,2
24.3205946895676,152.78930122999424,70,2.0,0,0,2
16.84080304414416,144.60418257994505,70,7.2,0,0,2
93.6663795664575,97.06727862394911,18,15.0,1,3,0
10.113424352392137,160.16804015315745,69,12.6,0,0,2
104.19822290293072,106.86792633023313,18,15.0,1,3,0
-34.36736877563666,-37.29388654158282,18,15.0,2,2,3
50.86753651090776,145.4333831572418,70,14.4,0,0,2
40.1602544626773,141.80245935207455,70,4.6,0,0,2
-20.90816644459224,-14.989506981697573,18,15.0,2,2,3
9.853170721473461,-31.799622396722015,18,15.0,2,2,3
-10.90470912905836,145.21423778727512,70,15.0,0,0,2
-10.761631968842536,-41.375743176576876,18,15.0,2,2,3
23.387402052044557,146.44262728147515,70,13.8,0,0,2
159.1436582723261,-5.778854531202171,18,1.0,3,1,1
191.9417447359197,-43.674980623079165,18,1.0,3,1,1
231.83525979727477,-20.42146456601978,18,1.0,3,1,1
-40.55715320645059,-49.258326450589436,18,15.0,2,2,3
170.01455263145766,-8.076536177522911,18,1.0,3,1,1
28.209398524798278,172.24424523037146,67,5.0,0,0,2
-43.69426253906357,-38.796341719986344,18,15.0,2,2,3
98.29543225939483,73.37711444494059,18,15.0,1,3,0
176.2343552108631,-42.27888035394096,18,1.0,3,1,1
-65.39435854756272,-27.297671351086052,18,15.0,2,2,3
120.56926313283714,84.36309563552577,18,15.0,1,3,0
-63.80240509391702,-71.54676849366498,18,15.0,2,2,3
69.25376863476464,109.54601413938141,18,15.0,1,3,0
36.43955097892139,142.74259752288677,70,13.1,0,0,2
79.80918975693008,87.79586495477483,18,15.0,1,3,0
95.3270833420832,115.26739802060092,18,15.0,1,3,0
1.5061000437018777,157.09997712926747,37,6.3,0,0,-1
175.41785688119154,-32.80741353173961,18,1.0,3,1,1
-65.86689760615,-45.50819626090224,18,15.0,2,2,3
17.419418177864728,164.59945982559128,70,8.6,0,0,2
-33.173469286243716,-45.60739515237309,18,15.0,2,2,3
141.0197234192524,26.898139055589144,18,1.0,3,1,1
80.24737874600538,121.92323873794595,18,15.0,1,3,0
77.90545454048554,118.48607655632871,18,15.0,1,3,0
78.40990636461964,77.99350556021864,18,15.0,1,3,0
-78.84070445682639,6.998194223142683,18,15.0,2,2,3
174.5536978286087,-12.782443057439949,18,1.0,3,1,1
139.0882818847948,35.019845891049684,18,1.0,3,1,1
108.63103773949459,91.88712091085988,18,15.0,1,3,0
3.3091769976696384,130.9041834940343,70,14.8,0,0,2
-69.80901111832873,-21.673910384125918,18,15.0,2,2,3
-70.35687716776098,-58.78778915552637,18,15.0,2,2,3
-27.627369864763367,-25.838311781170987,18,15.0,2,2,3
158.9661701103832,9.10688302501103,18,1.0,3,1,1
100.42885442211053,88.61581518585685,18,15.0,1,3,0
6.565841041968319,152.27351489962004,70,4.3,0,0,2
77.89857383006198,91.65386617302255,18,15.0,1,3,0
94.29150242956298,76.29181047709409,18,15.0,1,3,0
145.7017562007698,-10.722520275676544,18,1.0,3,1,1
-66.42556872993578,-40.867714874675585,18,15.0,2,2,3
91.42113931259217,117.00680635919771,18,15.0,1,3,0
20.6272471923914,164.31216908507943,70,14.6,0,0,2
-55.34617559720863,-19.107756580605383,18,15.0,2,2,3
112.74533338553331,88.96786643908706,18,15.0,1,3,0
4.97346832711338,153.9086986170597,70,11.3,0,0,2
-49.64600513266211,-52.16469021940986,18,15.0,2,2,3
191.21937369970658,-31.88425851466735,18,1.0,3,1,1
104.40710877180572,82.32421104006212,18,15.0,1,3,0
-57.06881463535977,-55.440327192112704,18,15.0,2,2,3
96.3366380163578,73.25879174560754,18,15.0,1,3,0
102.6664544345453,115.1092680852279,18,15.0,1,3,0
-17.53296423624569,-45.02243408161927,18,15.0,2,2,3
27.479884182801662,181.70000311546357,62,11.8,0,0,2
11.743568673946498,177.77254428379246,70,6.1,0,0,2
-20.630720841510225,-56.96298317991592,18,15.0,2,2,3
28.156919445470947,156.83140705458885,57,10.8,0,0,2
30.09344716949913,126.43671074185065,70,9.2,0,0,2
10.442431069450372,167.41024733442026,70,15.0,0,0,2
101.85227272146267,117.23319452814428,18,15.0,1,3,0
-4.0135304568029255,-11.841065275870896,18,15.0,2,2,3
221.9906184188845,-35.579121071363346,18,1.0,3,1,1
180.67949164853422,-9.594964187091733,18,1.0,3,1,1
40.6438666580782,182.58375405265468,70,15.0,0,0,2
27.061466541815747,122.8973713085439,66,11.8,0,0,2
-26.343172806860863,-18.98905211920291,18,15.0,2,2,3
85.54251377328671,95.68293098298724,18,15.0,1,3,0
-109.92880937070586,-49.774252637473666,18,15.0,2,2,3
78.3851240585171,93.88927433604955,18,15.0,1,3,0
-65.48283218066685,-39.503249299016005,18,15.0,2,2,3
154.55397324190193,2.169225062466417,18,1.0,3,1,1
158.52805372079624,-53.37721588804689,18,1.0,3,1,1
101.25041725761791,116.79759798970301,18,15.0,1,3,0
-84.61549047713086,-4.963495766303566,18,15.0,2,2,3
157.0407214115097,15.524199733573624,18,1.0,3,1,1
87.07570095678398,102.22615217941075,18,15.0,1,3,0
208.7357382091594,-46.550902869662224,18,1.0,3,1,1
80.14140462284136,116.30196259410639,18,15.0,1,3,0
22.058348097605233,139.13263681717365,70,5.4,0,0,2
190.40990520041575,39.51544431492883,18,1.0,3,1,1
121.40164274243088,91.96245411872442,18,15.0,1,3,0
83.65209543839583,94.14294116151656,18,15.0,1,3,0
177.96968753162272,-14.559994481461132,18,1.0,3,1,1
34.6717267305346,154.53196579456977,70,15.0,0,0,2
80.2410831917573,103.42851071661772,18,15.0,1,3,0
151.96152786550545,-23.751009815253212,18,1.0,3,1,1
-14.61694672233017,-70.55008802605063,18,15.0,2,2,3
48.53322007769534,158.35562863673243,70,13.0,0,0,2
-46.22726520892145,-37.334258469228985,18,15.0,2,2,3
95.79389173619913,82.37978953319623,18,15.0,1,3,0
70.75375857129731,87.95977665542651,18,15.0,1,3,0
-36.832814798337765,-15.91062693135288,18,15.0,2,2,3
0.4316980740940153,172.338956405744,70,7.2,0,0,2
21.55594977423484,186.33501934303197,47,14.6,0,0,-1
150.80588713932679,13.978350082265145,18,1.0,3,1,1
4.738836576643408,152.3743262466777,70,5.4,0,0,2
103.63138757067571,128.74605295253303,18,15.0,1,3,0
-55.91244211896377,-27.54903647238642,18,15.0,2,2,3
189.6730955359161,-88.54874251386227,18,1.0,3,1,1
99.95420259013997,102.82086220069094,18,15.0,1,3,0
82.14086058959342,95.541578772827,18,15.0,1,3,0
12.461034703526614,160.5247639295295,70,4.5,0,0,2
207.5679441368757,-39.3656857968536,18,1.0,3,1,1
54.43745601199555,79.97601798997397,18,15.0,1,3,0
122.18660951441322,15.611737060544506,18,1.0,3,1,1
-46.64818283724975,-53.200988636280556,18,15.0,2,2,3
-25.769257228470067,-2.99887347661263,18,15.0,2,2,3
-57.51793885275329,-44.99898911723645,18,14.5,2,2,3
-19.64175067581074,-28.60112779536297,18,15.0,2,2,3
-9.483806041925561,150.5998177286034,70,7.3,0,0,2
74.10356984743018,107.29150135067881,18,15.0,1,3,0
76.15532859437769,96.07612795644744,18,15.0,1,3,0
97.52363304598421,93.80133319874408,18,15.0,1,3,0
201.7134553377066,3.1525949526927306,18,1.0,3,1,1
-93.70578973496714,-40.154006374603625,18,15.0,2,2,3
88.96627214951901,74.02642810820143,18,15.0,1,3,0
-20.775340820574428,-51.0527257589429,18,15.0,2,2,3
3.4796413816993805,152.605610773058,70,15.0,0,0,2
-38.28401898068968,-27.19975045522409,18,15.0,2,2,3
118.55057226786042,103.00367318463147,18,15.0,1,3,0
-41.10546356078335,-51.16505386800185,18,15.0,2,2,3
83.78670188680513,125.97415446556543,18,15.0,1,3,0
78.10864589610117,128.211616175803,18,15.0,1,3,0
-50.46839239727211,-17.06240239411858,18,15.0,2,2,3
6.267702195859464,170.404193019204,70,11.9,0,0,2
2.47524333968326,160.93848544539935,70,5.8,0,0,2
-1.539797904628621,166.6960972898131,70,15.0,0,0,2
192.978276742252,-43.99635568822646,18,1.0,3,1,1
89.56317802275785,110.56882955006385,18,15.0,1,3,0
178.13833142203902,-43.58563500197546,18,1.0,3,1,1
71.30497508990464,116.3742306981332,18,15.0,1,3,0
154.54063751161044,-18.6647162952585,18,1.0,3,1,1
157.80864184233678,-11.148315589930192,18,1.0,3,1,1
183.3067969996515,-8.827631954374574,18,1.0,3,1,1
-84.10456654662997,-3.0368309425096314,18,15.0,2,2,3
24.604191368680674,149.10887176428827,63,11.2,0,0,2
-86.24395465471696,-45.50781561511285,18,15.0,2,2,3
34.10572088058895,163.51715765657718,70,12.5,0,0,2
93.58032158311723,107.61965838957803,18,15.0,1,3,0
204.02900273190343,14.083579062325114,18,1.0,3,1,1
-0.42666455331578135,163.82788552509479,70,4.6,0,0,2
158.3652117494616,-13.198466653469126,18,1.0,3,1,1
103.17611684008283,131.29660947580595,18,15.0,1,3,0
171.7094859182849,-3.5059108843479407,18,1.0,3,1,1
153.1038670252366,-18.393353301344987,18,1.0,3,1,1
-20.03759804081453,-36.01598736652139,18,15.0,2,2,3
55.339132954943715,154.1074601296222,70,4.5,0,0,2
4.530319039472978,156.10617759197567,70,14.8,0,0,2
113.03533528033401,-29.31337730039563,18,1.0,3,1,1
17.334122984377103,171.0234424320375,70,10.6,0,0,2
26.840878804611826,147.36752974952157,70,9.2,0,0,2
163.48952731956376,-29.344346424219793,18,1.0,3,1,1
114.82174797164629,85.98154475642664,18,15.0,1,3,0
206.69851311715675,-20.616619702965423,18,1.0,3,1,1
38.97753370410548,161.25606259979932,70,9.6,0,0,2
208.14413031188593,-8.153790200878205,18,1.0,3,1,1
192.89857022886605,9.4501138962354,18,1.0,3,1,1
21.581020835840775,137.13522886122828,70,14.3,0,0,2
96.69409745668395,80.42004687944018,18,15.0,1,3,0
8.847665131035633,152.92094604210087,70,15.0,0,0,2
148.85956399803257,-45.91069090824118,18,1.0,3,1,1
-36.18190032078904,-52.0945542215666,18,15.0,2,2,3
130.0439481430164,3.5398950745034625,18,1.0,3,1,1
140.56393980944148,-50.79276847899369,18,1.0,3,1,1
11.580615302689722,154.82957195843116,69,5.5,0,0,2
95.63029084827241,80.02014088825408,18,15.0,1,3,0
116.29237522763921,-71.8099563960957,18,1.0,3,1,1
66.5030112495697,111.06019418174017,18,15.0,1,3,0
28.684352678246977,146.96284218160918,70,8.7,0,0,2
-18.187614083914738,8.682084314843465,18,15.0,2,2,3
140.1902521316931,-30.651873454517442,18,1.0,3,1,1
-11.664292202454249,-27.065824904005154,18,15.0,2,2,3
