gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,0,0,72,1,0,56.4,4065.42,0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
0,0,1,0,34,1,0,75.35,2541.92,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
1,0,1,0,50,0,0,67.68,3238.41,0,False,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False
1,0,1,0,36,1,0,56.97,1978.69,1,True,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False
1,0,1,1,56,1,1,39.8,2267.55,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
0,0,1,1,7,1,1,32.21,326.43,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False
1,1,0,0,19,1,1,30.69,628.24,1,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False
1,0,0,0,52,1,0,76.92,4016.02,0,False,False,True,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False
1,1,0,0,11,1,1,49.17,539.8,0,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,48,1,0,18.0,948.13,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
1,0,0,1,16,0,1,78.11,1357.17,0,False,False,False,True,False,True,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False
1,0,0,0,63,1,1,63.61,3978.09,0,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
1,1,0,0,41,1,0,105.16,4211.56,0,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1,1,1,0,28,1,1,75.95,2021.69,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
0,0,1,0,18,1,0,20.4,433.29,1,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,0,10,1,1,18.0,177.65,0,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
0,0,0,1,49,1,1,43.18,2124.98,0,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
0,0,0,0,70,1,1,46.01,3131.17,0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False
0,1,1,0,57,1,1,93.05,5266.19,1,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
1,0,0,0,33,1,0,64.49,2113.4,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,0,1,0,19,0,1,98.77,1887.02,1,False,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False
1,0,0,1,49,1,1,25.02,1206.05,0,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,1,1,1,9,0,1,93.72,791.61,0,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False
0,1,1,0,31,1,0,86.39,2638.86,1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False
0,0,0,0,51,1,0,18.0,978.42,0,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
0,0,1,1,14,1,1,104.44,1474.4,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False
